fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S43;13760;13373;27511;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S43;27265;23148;50514;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S43;24774;20861;45676;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S43;23457;20326;43831;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S43;21495;19148;40685;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S43;13708;13282;27043;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S43;8243;8072;16325;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S43;7287;4539;11835;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S43;5000;1622;6631;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S43;147582;127015;275416;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S44;3512;3640;7350;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S44;17977;17073;35549;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S44;30163;24760;55025;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S44;29311;24141;53527;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S44;29040;23905;53011;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S44;26702;23803;50554;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S44;18072;16985;35139;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S44;11045;10743;21815;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S44;9186;5963;15157;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S44;6027;1943;7979;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S44;181094;153020;335286;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S45;4176;4481;8860;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S45;18130;17897;36526;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S45;23149;19042;42272;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S45;23998;18921;42981;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S45;23918;19852;43831;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S45;22715;20740;43504;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S45;16068;15289;31430;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S45;10627;10123;20770;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S45;9241;5872;15136;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S45;6150;2015;8174;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S45;158226;134293;293652;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S46;2784;2838;5744;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S46;10850;10613;21736;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S46;12305;9732;22086;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S46;12766;9936;22724;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S46;13353;10649;24031;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S46;13100;11334;24466;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S46;8806;8497;17355;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S46;6349;6206;12564;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S46;7326;4276;11615;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S46;5529;1681;7219;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S46;93209;75800;169644;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S47;2009;2144;4284;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S47;7214;7262;14643;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S47;8036;6309;14386;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S47;8623;6490;15132;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S47;9048;7060;16126;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S47;8287;7148;15461;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S47;5203;5091;10330;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S47;3876;3706;7591;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S47;5202;2934;8147;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S47;4203;1218;5425;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S47;61755;49406;111741;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S48;1284;1330;2669;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S48;4813;4687;9612;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S48;5658;4279;9962;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S48;6088;4484;10592;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S48;6235;4827;11088;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S48;5818;4817;10656;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S48;3385;3243;6645;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S48;2671;2542;5218;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S48;3964;2113;6089;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S48;3284;981;4270;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S48;43214;33320;76838;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S49;1151;1334;2545;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S49;4149;4074;8323;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S49;5714;4220;9956;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S49;5905;4345;10270;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S49;5746;4514;10278;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S49;5397;4438;9853;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S49;3289;3224;6534;4209745.81020426;3794336.95009999;69;8004082.76030424
