reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
93,9,2020-03-19,1,0,,,5,0,"[0,9]"
93,19,2020-03-19,4,0,,,17,0,"[10,19]"
93,29,2020-03-19,4,1,,,38,0,"[20,39]"
93,39,2020-03-19,17,0,,,28,0,"[30,39]"
93,49,2020-03-19,26,4,,,50,0,"[40,49]"
93,59,2020-03-19,43,8,,,51,0,"[50,59]"
93,69,2020-03-19,48,9,,,35,1,"[60,69]"
93,79,2020-03-19,47,19,,,24,1,"[70,79]"
93,89,2020-03-19,25,5,,,12,6,"[80,89]"
93,90,2020-03-19,9,1,,,1,1,"[90,+]"
94,0,2020-03-19,54,14,,,10,1,"[0,9]"
94,39,2020-03-19,1,0,,,1,0,"[30,39]"
94,49,2020-03-19,2,0,,,3,0,"[40,49]"
94,59,2020-03-19,4,3,,,1,0,"[50,59]"
94,69,2020-03-19,11,5,,,1,0,"[60,69]"
94,79,2020-03-19,17,4,,,1,0,"[70,79]"
94,89,2020-03-19,15,1,,,1,0,"[80,89]"
94,90,2020-03-19,3,0,,,1,1,"[90,+]"
2,0,2020-03-20,19,5,,,0,1,"[0,9]"
2,29,2020-03-20,2,1,,,0,0,"[20,39]"
2,39,2020-03-20,3,0,,,0,0,"[30,39]"
2,49,2020-03-20,3,1,,,0,0,"[40,49]"
2,59,2020-03-20,6,0,,,0,0,"[50,59]"
2,69,2020-03-20,4,3,,,0,0,"[60,69]"
2,79,2020-03-20,1,0,,,0,0,"[70,79]"
4,0,2020-03-20,2,2,,,0,0,"[0,9]"
4,79,2020-03-20,1,1,,,0,0,"[70,79]"
4,89,2020-03-20,1,1,,,0,0,"[80,89]"
11,0,2020-03-20,1785,484,,,350,99,"[0,9]"
11,9,2020-03-20,9,2,,,6,0,"[0,9]"
11,19,2020-03-20,7,2,,,2,0,"[10,19]"
11,29,2020-03-20,27,6,,,31,0,"[20,39]"
11,39,2020-03-20,100,29,,,49,0,"[30,39]"
11,49,2020-03-20,170,48,,,35,4,"[40,49]"
11,59,2020-03-20,304,121,,,72,3,"[50,59]"
11,69,2020-03-20,340,117,,,58,11,"[60,69]"
11,79,2020-03-20,359,104,,,47,27,"[70,79]"
11,89,2020-03-20,297,46,,,38,41,"[80,89]"
11,90,2020-03-20,130,3,,,9,9,"[90,+]"
24,0,2020-03-20,58,13,,,2,2,"[0,9]"
24,29,2020-03-20,1,0,,,0,0,"[20,39]"
24,39,2020-03-20,1,0,,,0,0,"[30,39]"
24,49,2020-03-20,2,0,,,0,0,"[40,49]"
24,59,2020-03-20,5,2,,,2,0,"[50,59]"
24,69,2020-03-20,16,4,,,0,0,"[60,69]"
24,79,2020-03-20,16,6,,,0,1,"[70,79]"
24,89,2020-03-20,11,1,,,0,1,"[80,89]"
24,90,2020-03-20,6,0,,,0,0,"[90,+]"
27,0,2020-03-20,270,71,,,68,22,"[0,9]"
27,29,2020-03-20,2,1,,,8,0,"[20,39]"
27,39,2020-03-20,6,1,,,6,0,"[30,39]"
27,49,2020-03-20,13,3,,,6,0,"[40,49]"
27,59,2020-03-20,30,12,,,13,1,"[50,59]"
27,69,2020-03-20,61,22,,,4,1,"[60,69]"
27,79,2020-03-20,60,19,,,8,7,"[70,79]"
27,89,2020-03-20,69,13,,,14,10,"[80,89]"
27,90,2020-03-20,29,0,,,7,3,"[90,+]"
28,0,2020-03-20,71,13,,,14,7,"[0,9]"
28,29,2020-03-20,1,0,,,2,0,"[20,39]"
28,39,2020-03-20,2,1,,,0,0,"[30,39]"
28,49,2020-03-20,4,0,,,2,0,"[40,49]"
28,59,2020-03-20,8,1,,,4,0,"[50,59]"
28,69,2020-03-20,13,6,,,4,1,"[60,69]"
28,79,2020-03-20,21,3,,,1,1,"[70,79]"
28,89,2020-03-20,17,2,,,1,4,"[80,89]"
28,90,2020-03-20,5,0,,,0,1,"[90,+]"
32,0,2020-03-20,432,136,,,156,51,"[0,9]"
32,9,2020-03-20,7,0,,,19,0,"[0,9]"
32,19,2020-03-20,4,1,,,5,0,"[10,19]"
32,29,2020-03-20,15,1,,,11,0,"[20,39]"
32,39,2020-03-20,19,7,,,26,0,"[30,39]"
32,49,2020-03-20,28,6,,,25,0,"[40,49]"
32,59,2020-03-20,48,23,,,23,0,"[50,59]"
32,69,2020-03-20,78,42,,,10,7,"[60,69]"
32,79,2020-03-20,97,45,,,14,17,"[70,79]"
32,89,2020-03-20,103,10,,,13,23,"[80,89]"
32,90,2020-03-20,32,0,,,7,4,"[90,+]"
44,0,2020-03-20,1364,294,,,284,183,"[0,9]"
44,9,2020-03-20,7,0,,,40,0,"[0,9]"
44,19,2020-03-20,1,1,,,5,0,"[10,19]"
44,29,2020-03-20,13,1,,,15,0,"[20,39]"
44,39,2020-03-20,34,10,,,16,0,"[30,39]"
44,49,2020-03-20,67,23,,,21,2,"[40,49]"
44,59,2020-03-20,146,50,,,44,5,"[50,59]"
44,69,2020-03-20,279,93,,,40,14,"[60,69]"
44,79,2020-03-20,339,91,,,42,33,"[70,79]"
44,89,2020-03-20,309,19,,,34,87,"[80,89]"
44,90,2020-03-20,111,0,,,13,40,"[90,+]"
52,0,2020-03-20,73,17,,,62,1,"[0,9]"
52,49,2020-03-20,4,1,,,15,0,"[40,49]"
52,59,2020-03-20,8,2,,,11,0,"[50,59]"
52,69,2020-03-20,16,5,,,15,0,"[60,69]"
52,79,2020-03-20,21,6,,,5,0,"[70,79]"
52,89,2020-03-20,15,3,,,4,0,"[80,89]"
